transcript,index,de,dgs,mouth
1205821,207,Das ging aber nicht.,['$GEST-NM-KOPFSCHÜTTELN1^'],[]
1205821,208,Sie ließen ihn nicht.,['BLOCKIEREN1A*'],['[MG]']
1205821,209,Hier bekam man von den Auseinandersetzungen beim Mann nichts mit.,"['HIER1*', 'WIMMELN1^', '||LUFT3A*']","['hier', '[MG]']"
1205821,210,Es wurde auf den Mann eingeredet und es wurde verhandelt.,"['||$INDEX1', 'SCHON1B*', 'BASTELN1B^*', 'MANN8*', '$GEST-AUFMERKSAMKEIT1^', 'BASTELN1B^*', '||MANN8*', 'BASTELN1B^*']","['schon', '[MG]', 'mann', '[MG]', 'mann', '[MG]']"
1205821,211,Sogar Spione bespitzelten ihn.,"['GIFT1B', '$INDEX1*']",['spion']
1205821,212,"Wenn wir Briefe an ihn schickten, dann nicht direkt, sondern über Umwege über meine Tante.","['ICH1', 'BRIEF1A', 'SCHICKEN2*', 'ICH1', 'SCHICKEN2*', 'TANTE9', 'SCHICKEN2*']","['brief', 'tante']"
1205821,213,"Die Tante, die in der DDR lebte, wurde von der Polizei nicht kontrolliert.","['TANTE9*', 'RICHTUNG3^*', '||DDR4*', 'RICHTUNG3', '||POLIZEI1A', '||TEST1^', '||NICHT3A']","['tante', 'd-d-r']"
1205821,214,"Wäre der Brief direkt an ihn verschickt worden, hätte man ihn geöffnet.","['DIREKT3', '||TEST1^', 'ZEITUNG1B^', '$PROD*']",['aufmachen']
1205821,215,"Dadurch dass die Tante innerhalb der DDR den Brief weiterverschickte, wurde er nicht kontrolliert.","['RICHTUNG3*', '$GEST-OFF^*', 'DANACH1A^*', '$INDEX1', 'DDR4||$INDEX1', 'SCHICKEN2*', 'NICHT3B*', '$ALPHA1:#', 'BEREICH1A*']","['[MG]', '[MG]', 'd-d-r', 'schicken', '[MG]', 'd-d-r']"
1205821,216,Und so schickten wir den Brief ihr und sie leitete ihn weiter.,"['ICH2*', 'DORTHIN-GEHEN1*', 'NEIN1A^', 'ICH1*', 'DORTHIN-GEHEN1*', 'DORTHIN-GEHEN1^*']",['[MG]']
1205821,217,So nahm der Brief den Umweg.,"['DORTHIN-GEHEN1*', 'DORTHIN-GEHEN1*', '$GEST-OFF^*']",['um']
1205821,218,"Das heißt also, wer schon geflohen ist, wurde stark ins Visier genommen?","['WENN1A', 'WIE-VIEL1^*', 'SCHON1B', 'FLUCHT1A', 'SCHARF1A*', 'BLOCKIEREN1A']","['wenn', 'wer', 'schon', 'flucht', 'scharf']"
1205821,219,"Aber in der DDR, also mein Onkel.","['||$INDEX1', 'MANN8', '||$INDEX1', '||MEIN1', 'ONKEL2*', '||$INDEX1']","['mann', 'onkel']"
1205821,220,War das so?,"['SO1A*', 'SO4']","['so', 'so']"
1205821,221,Interessant.,['INTERESSE1A'],[]
1205821,222,Man hat ihn hartnäckig daran gehindert fortzugehen.,['BLOCKIEREN1A'],['[MG]']
1205821,223,"Er hat einfach nur gesagt, dass er zu seiner Frau will.","['$INDEX1', '||BESCHEID1A*', '||ICH2', '||WOLLEN8', '||ZU9', '||EHEFRAU1', '||DORTHIN-GEHEN1*']","['ich', 'will', 'zu', 'frau']"
1205821,224,"Es hieß, dass er es nicht darf.","['||$GEST-ABWINKEN1^', 'DARF-NICHT3*']",['darf nicht']
1205821,225,"Doch er beharrte darauf, dass er zu seiner Frau will.","['ICH1', '||WOLLEN8', 'DORTHIN-GEHEN1', '||$INDEX1', '||KALT2', '||BESCHEID1A', '||ICH1', '||WOLLEN8', '||BEI1A*', '||FRAU2C*', '||$INDEX1*']","['ich', 'will', 'frau', 'kalt', 'will', 'frau']"
1205821,226,Doch das ließ man nicht zu und man riet ihm sogar zur Scheidung.,"['||ENDE1^', 'NEIN1A^', '||$GEST-AUFMERKSAMKEIT1^', 'SCHEIDUNG1A']",['scheidung']
1205821,227,Er verneinte.,"['||MANN8', '$GEST-NM-KOPFSCHÜTTELN1^']",['mann']
1205821,228,Sie versuchten es weiter mit der Scheidung.,"['||$GEST-AUFMERKSAMKEIT1^', 'SCHEIDUNG1A', '$GEST-ABWINKEN1^']",['scheidung']
1205821,229,"Mein Onkel sagte einfach immer nur: „Nein, ich will zu meiner Frau.“","['||MEIN1', 'ONKEL2', '||WOLLEN-NICHT2*', '||WOLLEN8', '||$INDEX1*', '||WOLLEN8']","['mein', 'onkel', 'nein nein nein nein', 'will', 'frau', 'will will']"
1205821,230,Die Stasi hat alles versucht und es war eine verstrickte Situation.,"['||STASI1B*', 'STASI1B', 'NEIN1A^', 'SICH-HERAUSREDEN2*', 'BASTELN1B^']","['stasi', '[MG]']"
1205821,231,"Das war hart, sehr, sehr hart.","['HART1B', 'ENDE8', 'SEHR4', 'HART1B', 'ENDE8']","['hart', 'sehr sehr', 'hart']"
1205821,232,Man hat auf ihn richtigen Druck ausgeübt.,"['BISSCHEN2A*', 'ZWANG1*', '$GEST-OFF^*', '$INDEX1']",['[MG]']
1205821,233,"Mein Onkel hatte schon alles vorbereitet, die ganzen Möbel und viele schöne Sachen gab er an seine Verwandten.","['ONKEL2', 'SCHON1A', 'ALLES2*', '||VORBEREITUNG2', 'ALLES2*', 'MÖBEL5*', 'SCHÖN3*', 'SACHE1', 'ALLES2*', '||VERWANDT1', 'GEBEN1*', '$GEST-RUHIG-BLEIBEN1^*']","['onkel', 'schon', 'alles', 'vorbereiten', 'alles', 'möbel', 'schön', 'sache', 'alle', 'verwandte']"
1205821,234,Die Wohnung sah abscheulich und ganz einfach aus.,"['||WOHNUNG1A', 'HERUNTERGEKOMMEN5', 'ENDE8', '||EINFACH1']","['wohnung', '[MG]', 'einfach']"
1205821,235,Da standen nur noch ein kleiner Tisch und ein Bett. Es sah ganz einfach aus.,"['BEHÄLTER3^*', 'BETT2A', '$GEST^', '||EINFACH1', 'ENDE8']","['tisch', 'einfach']"
1205821,236,Da war kein schönes Glas oder andere Sachen.,"['WIE3A*', 'SCHÖN3*', 'GLAS-GEFÄSS1B*']","['wie', 'schön', 'glas']"
1205821,237,Das hatte er alles seinen Verwandten gegeben.,"['ALLES3*', 'SCHON1B*', 'AB1A*', '$GEST^']","['alles', 'schon', '[MG]']"
1205821,238,"Das war/ Es sah ganz ärmlich aus, so halb-halb/","['||$INDEX1', 'WIE3A*', '$GEST-OFF^*', '||$GEST-ÜBERLEGEN1^*', '||ARMER1', '||WIE3B', '||HALB1A*']","['wie', 'arm', 'wie', 'halb']"
1205821,239,Es sah einfach nur schlimm aus und ganz einfach.,"['||$GEST-OFF^*', 'SCHLIMM3B', 'HERUNTERGEKOMMEN5']",['schlimm']
1205821,240,Er hatte nur noch ganz wenige Sachen.,"['EINFACH1*', 'PAAR-ANZAHL1*', 'KLEIDUNG2', '||NUR2B', 'MASS2B^*', '||NEIN1B^']","['einfach', 'paar', 'kleidung', 'wenig']"
1205821,241,Er ging aber regelmäßig zur Arbeit.,"['||ARBEITEN1*', 'HIN-UND-HER1']",['arbeit']
1205821,242,Hatte er sich innerlich vielleicht schon vorbereitet?,"['HEISSEN2', 'VORBEREITUNG2', 'VERINNERLICHEN1']","['heißt', 'vorbereiten']"
1205821,243,"Dann wurde ihm wieder gesagt, dass er sich scheiden lassen soll.","['||$GEST-AUFMERKSAMKEIT1^', 'SCHEIDUNG1A']",['scheidung']
1205821,244,"Er wusste ja nicht, ob jemand von der Stasi kommt.","['||$INDEX1', 'NICHT2', '$INDEX1', '||WISSEN-NICHT1', '||$GEST-OFF^*', '$GEST^', '||MERKWÜRDIG1', '||STASI1B', '||KOMMEN1']","['weiß nicht', 'stasi']"
1205821,245,Das wusste er nicht.,['||WISSEN-NICHT1'],['weiß nicht']
1205821,246,Deshalb wollte er den schlechten Zustand und gab alle Sachen ab.,"['LIEBER1', 'HERUNTERGEKOMMEN5', 'ENDE8', 'SCHON1B', 'ALLES2*', 'WERFEN1^*']","['lieber', 'schon', 'alles']"
1205821,247,Die heimlichen Briefe bekam er weiterhin.,"['LIEBER1', '||HEIMLICH1A', 'SCHICKEN2*', 'SCHICKEN2*']","['lieber', 'heimlich']"
1205821,248,Das war ziemlich aufreibend.,['BASTELN1B^*'],[]
1205821,249,"Das Ganze dauerte ein Jahr, ohne dass sie sich gesehen haben.","['$INDEX1', 'JAHR1B*', 'BASTELN1B^', 'SEHEN-AUF1*', 'NULL6A*', 'NEIN3B^*', 'BASTELN1B^', '$GEST-ÜBERLEGEN1^']","['ein jahr', 'null', '[MG]']"
1205821,250,"Eines Tages, ganz plötzlich, kam es, dass er bei seiner Arbeit gesagt bekommen hat, dass er innerhalb von 24 Stunden in den Westen gehen könne.","['BIS1', '||$NUM-HUNDERTER1:1d*', '||AUSGERECHNET1B', 'PLÖTZLICH2', '||AUSGERECHNET1A^*', 'ARBEITEN2', '||AUSGERECHNET1B', '$GEST-AUFMERKSAMKEIT1^', '||DU1*', 'KANN2A', '||INNERHALB1', '||$NUM-EINER1A:4', '$NUM-ZEHNER2A:2d*', '||STUNDE2A*', '||SCHEUCHEN2*', '||WESTEN1A']","['bis', 'ein', 'plötzlich', 'arbeit', 'du', 'kann', 'innerhalb', 'vierundzwanzig', 'stunden', 'westen']"
1205821,251,Mein Onkel war ganz verdutzt.,"['||MEIN1', 'ONKEL2*', '$GEST^']","['mein', 'onkel']"
1205821,252,"Vorher war schon ein Spion in seiner Wohnung und war verwundert, dass es in seiner Wohnung so einfach aussah.","['SCHON1A', '||VORHER2', 'GIFT1B^', '||SEIN-IHR1', '||WOHNUNG1A', 'BESUCHEN1A*', '||ALLES2', 'EINFACH1']","['schon', 'vorher', 'spion', 'wohnung', 'alles', 'einfach']"
1205821,253,Sie wollten Dinge entwenden.,"['||$INDEX1*', '||WOLLEN8', '||KLAUEN1', '$GEST-OFF^']","['will', '[MG]']"
1205821,254,Aber es sah dort so erbärmlich aus.,"['||ALLES2', 'HERUNTERGEKOMMEN5']",['[MG]']
1205821,255,"Da war nichts, was die Stasi hätte gebrauchen können.","['||STASI1B', '||$GEST-OFF^*', '||ICH1', '||BRAUCHEN1*', '||NICHT5', '||$INDEX2']","['stasi', 'brauch nicht']"
1205821,256,Meinem Onkel war das recht.,"['ONKEL2*', '$GEST^']",['onkel']
1205821,257,Sie wollten auch stehlen?,"['AUCH3A', 'KLAUEN1']",['auch']
1205821,258,"Ja, das wollten sie schon.",['SCHON1B'],['schon']
1205821,259,Aber er hatte ja schon alles vorbereitet und abgegeben.,"['WOLLEN8', 'KLAUEN1', '$INDEX1', 'SCHON1B', 'ALLES2*', '||VORBEREITUNG2', 'ABGEBEN1*', 'FERTIG1A', 'ENDE8', '||$INDEX1']","['will', 'schon', 'alles', 'vorbereitet', 'fertig']"
1205821,260,"Aber andere Leute in der DDR, die nicht verfolgt wurden, wurden doch auch nicht bestohlen?!","['ABER1*', '$WORTTEIL-UN2', 'RECHT1*', 'OBWOHL2', 'ANDERS2*', 'ANDERS4', 'DDR4', 'WOHNUNG5*', '$INDEX1', '$INDEX1', '$INDEX1', 'NICHT6*', 'FOLGEN1B', 'BLOCKIEREN1A', 'KLAUEN1*', 'NICHT3B*', '$INDEX1']","['aber', 'un{gerecht}', 'obwohl', 'andere', 'd-d-r', 'wohnen', 'verfolgen', 'nicht']"
1205821,261,Weil sie nicht fliehen wollten.,"['||NICHT3B*', 'WEIL1', '||$INDEX1', '||KEIN7', 'FLUCHT1A', '||$GEST-OFF^*']","['weil', '[MG]']"
1205821,262,"Für die, die schon geflohen sind, war die weitere Verfolgung ja grausam.","['RECHNEN1^*', 'SCHON1A', 'FLUCHT1A', 'SEHR6', 'VIEL1A', 'FOLGEN1B', 'GRAUSAM3']","['wer', 'schon', '[MG]', 'viel', 'folgen', 'grausam']"
1205821,263,"Ja, für seine Frau, die ja geflohen ist.","['||$INDEX1', 'EHEFRAU1', 'FLUCHT1A', '$INDEX1*']",['frau']
1205821,264,"Man sagte ihm also, dass er innerhalb von 24 Stunden raus kann.","['BLOCKIEREN1A', '||BESCHEID1A', '||BIS1', '||AUSGERECHNET1B^', '||DU1*', '||$NUM-DOPPEL1A:4', 'STUNDE2A*', '||DU1*', '||RAUS1']","['[MG]', 'bis', 'du', 'vierund{zwanzig}', 'stunde', 'raus']"
1205821,265,Mein Onkel hat gesagt „Okay.“,"['||MEIN1', 'ONKEL2*', '||OKAY1A*', '||MEIN1', 'ONKEL2*', '||OKAY1A']","['mein', 'onkel', 'onkel', 'okay']"
1205821,266,Dann hat er seinen kleinen Koffer gepackt und sich in den Zug gesetzt.,"['$PROD*', '$PROD*', '$PROD*', '$PROD*', 'ZUG2A*', '||SITZEN1A*', 'PARALLEL1A^']","['koffer', '[MG]', '[MG]', '[MG]', 'zug', '[MG]']"
1205821,267,Dann musste er seine Papiere vorzeigen und er wurde durchgelassen.,"['||ANHALTEN2', 'HALTEN-BLATT1A^*', 'SCHWEIGEN3^', 'AB1A^']",[]
1205821,268,So kam er hierher und jetzt wohnt er hier.,"['KOMMEN2*', '$GEST-OFF^*', 'JETZT3*', 'WOHNUNG5*']","['jetzt', 'wohnen']"
1205821,269,"Wie kam es zu diesem Umdenken, dass er so plötzlich innerhalb von 24 Stunden doch weg konnte?","['WECKER1^*', 'DARF1', '$NUM-EINER1B:4', '$NUM-ZEHNER1:2d*', 'WENIG2^*', 'WENIG2^', 'WECKER1^*', 'UM2B^*']","['plötzlich', 'darf', 'vierundzwanzig', 'stunde', 'plötzlich', 'um']"
1205821,270,Weil er so hartnäckig war und in den Westen wollte?,"['WEGEN1*', 'BOHREN1A^*', 'WOLLEN8', 'WESTEN1A*']","['wegen', 'bohren', 'will']"
1205821,271,Sie gaben dann einfach auf.,"['BOHREN1A^*', 'AUFGEBEN1*', '$GEST-ICH-WEISS-NICHT1^']",['aufgeben']
1205821,272,Sie haben aufgegeben.,"['GEBEN2^*', 'KLAPPT1']","['gibt auf', 'klappt']"
1205821,273,Sie haben es ein Jahr lang versucht.,"['JAHR1B*', '||KAMPF2']","['ein jahr', '[MG]']"
1205821,274,Aber er ist hartnäckig geblieben.,"['$INDEX1', 'HART1A', '$GEST-NM-KOPFSCHÜTTELN1^']",[]
1205821,275,"Er blieb dabei, dass er zu seiner Frau will.","['||WOLLEN8*', 'BLEIBEN3', '||$INDEX1']","['will', 'bleibt', 'frau frau frau']"
1205821,276,Das Einreden mit der Scheidung hat nichts gebracht. Er wollte zu seiner Frau.,"['||$GEST-AUFMERKSAMKEIT1^', 'SCHEIDUNG1A', 'ALLES2*', '$GEST-NM-KOPFSCHÜTTELN1^', '||$INDEX1']","['scheidung', 'frau']"
1205821,277,"Sie haben ihm sogar im Falle einer Scheidung versprochen, dass er Orden und Beförderungen bekommen würde.","['SCHEIDUNG1A', 'BEKOMMEN3*', 'BELOHNUNG2^*', 'BEKOMMEN1*', 'OBEN3C^']","['scheidung', 'bekomm', 'bekomm']"
1205821,278,Aber das hat er abgelehnt.,"['MEIN1', '||EHEMANN1', '$GEST-NM-KOPFSCHÜTTELN1^']",['mann']
1205821,279,"Wäre die Frau an seiner Stelle gewesen, dann hätte sie bestimmt aufgegeben.","['ENDE1^*', '||$INDEX1*', '||FRAU6*', 'WENN1A', '||FRAU2C*', 'TAUSCHEN1', '||FRAU2C*', 'WÄRE1', 'BESTIMMT2', 'AUFGEBEN1', '||$INDEX1']","['frau', 'frau', 'frau', 'bestimmt', 'aufgeben']"
1205821,280,Das war anscheinend sehr hart.,"['SAGEN1', 'HART1A', 'SEHR3*', 'HART1A', '$GEST-NM^', 'OKAY3*']","['hart', '[MG]', 'okay']"
1205821,281,"Aber das ist besser, als wäre er über die Mauer geflohen.","['BESSER1', 'ALS4', 'MAUER3', 'FLUCHT1A']","['besser', 'als', 'mauer']"
1205821,282,Dann hätten sie ihn überraschen und auf ihn schießen können und er wäre gestorben.,"['$GEST-OFF^', 'ES-GIBT3', 'ÜBERRASCHUNG2*', 'SCHIESSEN1E', 'TOD2']","['ja', 'gibt', 'überraschung', 'schuss']"
1205821,283,So wäre das Risiko größer gewesen.,"['MEHR1*', 'RISIKO6', '$GEST-OFF^*']","['mehr', 'risiko']"
1205821,284,Das ist bei vielen so gewesen.,['||VIEL1B'],['viel']
1205821,285,So war der Antrag und das lange Bohren besser.,"['BESSER1*', 'ANTRAG1B', 'BOHREN1A^*']","['besser', 'antrag']"
1205821,286,Aber ein Jahr und dieser lange Kampf.,"['||JAHR1B*', '||KAMPF2*']","['ein jahr', 'kampf']"
1205821,287,"Es ist auch nicht so, dass jeder die Möglichkeit hatte.","['||WIE3B', '||$INDEX1', 'AUCH1A*', 'NEIN1A^', 'FLUCHT1A', '$GEST-OFF^*']","['wie', 'auch', 'auch auch']"
1205821,288,"Dann ist das ja ein Wunder, dass er frei gekommen ist.","['MERKWÜRDIG1*', '$INDEX1', 'WUNDER2*', 'FREI1', '$INDEX1']","['wunder', 'frei']"
1205821,289,"Ja, er hatte Glück.","['||BETROFFEN2^*', '$GEST-NM^']",['[MG]']
1205821,290,"Er hätte fast aufgeben, hat es dann aber doch geschafft.","['||$INDEX1', 'FAST4*', 'AUFGEBEN1', 'DOCH1A*', 'SCHAFFEN1A*', '$GEST-OFF^*']","['fast', 'aufgeben', 'doch', 'geschafft']"
1205821,291,So kam er hierher und ist bis jetzt noch hier.,"['UMZIEHEN1*', 'LEBEN1A*', 'BIS-DAHIN1^*', 'JETZT2*', '$GEST-OFF^', 'MAUERFALL2', '$GEST-OFF^']","['leben', 'bis jetzt', 'hier', 'mauer']"
1205821,292,Schön. Da fällt mir ein/,"['GUT1', 'AUCH3A', 'ICH1', 'EINFALLEN1']",['auch']
1205821,293,Kurz danach fiel dann die Mauer.,"['MAUERFALL1', '$GEST-OFF^*']",['mauer']
1205821,294,"Es war ihm dann aber verboten, den Osten zu besuchen.","['DANN6', 'HIER1*', 'BESUCHEN1B*', 'ACHTUNG1A^*']","['dann', 'besuchen', 'verboten']"
1205821,295,Keine Chance.,['NEIN3B^*'],[]
1205821,296,Für das restliche Leben war es ihm untersagt.,"['BLEIBEN2', 'GANZ1A', 'LEBEN5*', 'BESUCHEN1B*', 'VERBOTEN1*']","['ganz', 'leben', 'verboten']"
1205821,297,Er dachte natürlich auch an seine dortigen Verwandten.,"['DENKEN1B', 'VERWANDT1', '$INDEX1', '$GEST-OFF^*']",['verwandte']
1205821,298,Dann fiel die Mauer.,['MAUERFALL2*'],['mauer']
1205821,299,Die ganzen persönlichen Sachen hatte er heimlich seinen Verwandten gegeben.,"['AUCH1A*', 'MÖBEL1^*', 'ALLES2*', 'SACHE1', 'HEIMLICH1A', 'GEBEN-FESTHALTEN1A*', 'VERWANDT1*', 'GEBEN-FESTHALTEN1A*']","['auch', 'alle', 'sachen', 'heimlich', 'verwandt', 'geb geb']"
1205821,300,Stück für Stück wurden die Sachen rüber geschafft.,"['WERFEN1^*', 'WERFEN1^*', 'WERFEN1^*', 'WERFEN1^*']",['[MG]']
1205821,301,"Es war ein Teil der Sachen, den Großteil kaufte er sich neu.","['||HALB1A*', '$INDEX2', 'HALB1A', '||VIEL1B', '||NEU1A', '||KAUFEN1A', '||VIEL1B', '||NEU1A']","['halb halb', 'halb', 'viel', 'neu', 'kauf', 'viel', 'neu']"
1205821,302,Der Sohn blieb aber im Osten.,"['SEIN-IHR1*', '||SOHN1', 'NOCH4B*', 'OSTEN1A', '||$GEST-OFF^*']","['sohn', 'noch', 'osten']"
1205821,303,Das mussten sie so hinnehmen.,['SCHWEIGEN3^'],[]
1205821,304,"Als die Mauer fiel, konnten sie sich gegenseitig besuchen.","['MAUERFALL2', '||BESUCHEN1B*']","['mauerfall', 'besuch be{such}']"
1205821,305,"Wenn ich mir das so vorstelle, dann war es doch besser, dass die Mauer gefallen ist.","['VORSTELLUNG1A', 'BESSER1', '$INDEX1', 'MAUERFALL2']","['vorst{ellen}', 'mauer']"
1205821,306,"Es ist doch schön, dass du und ich jetzt in ein und dem selben Deutschland leben.","['FROH1', 'ZUSAMMEN7*', 'GLEICH1A*', 'DEUTSCH1', 'ICH1', 'DU1']","['zusammen', 'gleich', 'deutsch']"
1205821,307,Andererseits muss man auch für den Osten bezahlen.,"['$GEST-OFF^*', 'MAUERFALL2', '||HALB1A', '||BEZAHLEN3*', '||$GEST-OFF^*']","['halb', '[MG]']"
1205821,308,"Ich denke, dass das mit der Zeit langsam verschwindet.","['||$GEST-OFF^*', 'LANGSAM1*', 'ABLAUF1^', 'KOMMEN1', 'VERSCHWUNDEN1A']","['langsam', 'komm', '[MG]']"
1205821,309,"Als ich damals die Gehörlosenschule in Laim besuchte, ließ man immer zum Sommerfest Luftballons mit Namensschildern steigen.","['AUCH3A', 'ICH1', 'OFT3*', 'FRÜHER1*', '$INDEX1', 'TAUB-GEHÖRLOS1A', 'SCHULE1A', 'SCHMIEREN2A^', '$INDEX1*', 'FEST-FEIER3A*', 'TYPISCH1*', 'KENNEN1A', 'SOMMER8B', 'FEST-FEIER3A', 'LUFTBALLON3', 'MIT1A*', 'NAME2', 'VIERECK2^', '$PROD*']","['auch', 'früher', 'gehörlos', 'schule', 'laim', 'typ', 'kennen', 'sommerfest', 'luftballon', 'mit', 'name']"
1205821,310,Mein Luftballon flog zufälligerweise bis Leipzig.,"['ZUFALL1', 'ICH1', 'BIS1', 'DORTHIN-GEHEN1^', 'LEIPZIG1A*']","['zufall', 'leipzig']"
1205821,311,"Dort fiel er auf ein Feld und ein Bauer, der mit dem Traktor fuhr/","['$INDEX1', 'FELD3', 'BAUER2*', 'TRAKTOR1']","['feld', 'bauer', 'traktor']"
1205821,312,"Zu der Zeit stand noch die Mauer, als ich die Schule besuchte.","['WAR1', 'ZEIT7C*', 'MAUER3*', 'ICH1', 'NOCH1A', 'SCHULE1A', '$INDEX1']","['war', 'zeit', 'mauer', 'noch', 'schule']"
1205821,313,Der Bauer war mit seinem Traktor unterwegs und fand den Zettel.,"['$INDEX1', 'BAUER2*', 'TRAKTOR1', 'FINDEN1A', 'HALTEN-BLATT1A']","['bauer', 'traktor']"
1205821,314,Er antwortete spontan und schickte es an die Gehörlosenschule.,"['SCHREIBEN1A*', 'SELBST1A*', 'SPONTAN1', 'SCHREIBEN1A', 'SCHICKEN2*', 'TAUB-GEHÖRLOS1A', 'SCHULE1A', '$INDEX1']","['selbst', 'spontan', 'schreiben', 'schicken', 'gehörlos', 'schule']"
1205821,315,Dort wurde es ausgehängt und ich entdeckte meinen Namen darauf.,"['POSTER1^', '$INDEX1', 'MEIN1', 'NAME2', 'ETIKETT1^*']",['name']
1205821,316,Jemand fand also meine Karte.,"['FINDEN1A', 'KARTE1A', '$GEST-OFF^']","['gefunden', 'karte']"
1205821,317,Aber es gab kein Geschenk.,"['ABER1*', 'KEIN1*', 'GESCHENK2*', '$GEST-OFF^']","['aber', 'kein', 'geschenk bekommen', 'bekommen']"
1205821,318,Wie dem auch sei.,"['$GEST-NM-SCHULTERZUCKEN1^', '$GEST-ABWINKEN1^']",[]
1205821,319,"Ich schrieb ihm zurück und so entstand der Kontakt, denn er bekam meinen Brief und freute sich sehr darüber.","['HALTEN-BLATT1A*', 'ICH1', 'PROBE4', 'SCHREIBEN1E', 'SCHICKEN2', 'KONTAKT2A', 'SCHICKEN4A*', 'SCHICKEN2', 'ERHALTEN1', '$INDEX1', 'FROH1', 'SEHR4']","['probe', 'schreiben', 'kontakt', 'erhalten', 'freuen', 'sehr']"
1205821,320,"Dann antwortete er, aber – wie soll ich sagen – er bettelte ein wenig.","['DANN1A', 'AUCH3A', 'SCHICKEN4A*', '$INDEX1*', 'BITTE1B', 'WIE3B', 'BISSCHEN2A', 'BETTELN2*']","['dann', 'auch', 'schicken', '[MG]', 'wie', 'bisschen', 'betteln']"
1205821,321,"Er freute sich ja darüber, dass er den Zettel fand und so West-Kontakt hatte.","['$INDEX1', 'AUCH3A', 'FROH1', '$NUM-EINER1A:6d*', 'KLAPPT1', '$GEST-OFF^', '$INDEX1', 'FINDEN1A', 'KONTAKT2A', '$INDEX1', 'WIE3B*', 'FROH1', 'WESTEN1A', 'KONTAKT2A', '$INDEX1', 'ICH1', '$GEST-OFF^']","['auch', 'froh', 'ein', 'wunder', 'gefunden', 'wie', 'froh', 'westkontakt']"
1205821,322,"Er bat darum, dass ich etwas spenden sollte.","['UND2A', 'AUCH3A', 'BISSCHEN2A', 'BITTE4', 'BITTE1B', 'AUCH1B*', 'BISSCHEN2A*', 'SPENDEN2A*']","['und', 'auch', 'bisschen', '[MG]', 'auch', 'bisschen', 'spende']"
1205821,323,Das tat ich dann auch.,"['ICH1', '$GEST-ABWINKEN1^', 'IMMER1A*']",['immer']
1205821,324,"Immer an seinem Geburtstag oder an Weihnachten schickte ich ihm ein Geschenk, also etwas zu Essen oder einen Kuchen.","['WIE3B*', 'SEIN-IHR1', 'WO1A', 'SEIN-IHR1*', 'GEBURTSTAG6', 'WEIHNACHTEN4A*', 'ICH1^*', '||SCHICKEN2', 'SCHENKEN2*', '$GEST-OFF^', 'ESSEN2', 'KUCHEN5']","['wie', 'wo', 'geburtstag', 'weihnachten', 'geschenk', 'kuchen']"
1205821,325,"Das packte ich in ein Päckchen und schickte es los, obwohl wir uns unbekannt und fremd waren.","['KASTEN1*', 'DAZU1^*', 'IMMER1A*', 'SPENDEN2A', 'OBWOHL2*', '$INDEX1', 'ICH1', 'BEKANNT2*', 'FREMD3', '$GEST-OFF^']","['kasten', 'immer', 'spende', 'obwohl', 'unbekannt', 'fremd']"
1205821,326,So schrieben wir uns hin und her.,"['SCHICKEN2*', '||DORTHIN-GEHEN1^*', 'DORTHIN-GEHEN1^*', '||DORTHIN-GEHEN1^*']","['mal da', 'mal']"
1205821,327,"Der Kontakt hielt über zehn Jahre, bis die Mauer fiel.","['KONTAKT2A', 'DORTHIN-GEHEN1^*', 'JAHR1B*', 'BIS1', 'MAUERFALL2']","['kontakt', 'zehn jahre', 'bis', 'mauer']"
1205821,328,"Ich hätte ihn gerne einmal persönlich getroffen, aber daraus wurde nichts.","['WOLLEN8', '$NUM-EINER1A:1d', 'PERSON1', 'SEHEN1', 'TREFFEN1', '$GEST-OFF^']","['will', 'einmal', 'sehen', 'treffen']"
1205821,329,Nach dem Mauerfall war der Kontakt auf einmal weg.,"['VERSCHWUNDEN1A', 'BIS1*', 'MAUERFALL2', 'VERSCHWUNDEN1A']","['bis', 'mauer']"
1205821,330,"Warum, weiß ich nicht.","['$GEST-OFF^', 'WISSEN2A', 'WARUM7', '$GEST-OFF^']","['weiß nicht', 'warum']"
1205821,331,Und jetzt ist er frei.,"['$INDEX1*', 'FREI2A']",['frei']
1205951,0,Es geht um die Vorbereitung fürs Ausgehen.,"['THEMA1*', 'WAS1B*', '||VORBEREITUNG2*', '||GEHEN1B*', '||GEHEN2A']","['thema', 'was', 'vorbereit{ung} zum', 'ausgehen']"
1205951,1,"Also, was man alles so tut, bevor man weggeht.","['||BEDEUTUNG1', '||WEGGEHEN1', '||VORBEREITUNG2*', '||VOR1G', '||WAS1B*']","['bedeut', '[MG]', 'vorbereit', 'was']"
1205951,2,"Ich überlege zum Beispiel immer zuerst einmal, was mich bei der Einladung erwartet.","['||ICH2', '||WAS1B*', '||ICH2', '||ZUERST1D', '||ICH1', '||IMMER1B', '||WAS1B*', '||EINLADEN1B', '||ODER5', '||VORBEREITUNG2', '||WEGGEHEN1', '||IMMER1B', '||ICH1', '||DENKEN1B', '||WAS1B*', '||$INDEX1']","['zuerst', 'immer', 'einlad', 'oder', 'vorb{ereiten}', 'weg', 'immer', 'denke', 'was']"
